"subject_id","age","sex","harshness","universe","looplabel","uni_num","trial","armpick","runlength","rewardfound","switch"
"355",21,"0","harsh","stable","loop1",4,53,"four",48,86,0
"355",21,"0","harsh","stable","loop1",4,54,"four",49,83,0
"355",21,"0","harsh","stable","loop1",4,55,"four",50,90,0
"355",21,"0","harsh","stable","loop1",4,56,"four",51,89,0
"355",21,"0","harsh","stable","loop1",4,57,"four",52,89,0
"355",21,"0","harsh","stable","loop1",4,58,"four",53,78,0
"355",21,"0","harsh","stable","loop1",4,59,"four",54,85,0
"355",21,"0","harsh","stable","loop1",4,60,"four",55,89,0
"355",21,"0","harsh","stable","loop1",4,61,"four",56,89,0
"355",21,"0","harsh","stable","loop1",4,62,"four",57,94,0
"355",21,"0","harsh","stable","loop1",4,63,"four",58,95,0
"355",21,"0","harsh","stable","loop1",4,64,"four",59,91,0
"355",21,"0","harsh","stable","loop1",4,65,"four",60,96,0
"355",21,"0","harsh","stable","loop1",4,66,"four",61,93,0
"355",21,"0","harsh","stable","loop1",4,67,"four",62,91,0
"355",21,"0","harsh","stable","loop1",4,68,"four",63,88,0
"355",21,"0","harsh","stable","loop1",4,69,"four",64,86,0
"355",21,"0","harsh","stable","loop1",4,70,"four",65,93,0
"355",21,"0","harsh","stable","loop1",4,71,"four",66,95,0
"355",21,"0","harsh","stable","loop1",4,72,"four",67,97,0
"355",21,"0","harsh","stable","loop1",4,73,"four",68,93,0
"355",21,"0","harsh","stable","loop1",4,74,"four",69,92,0
"355",21,"0","harsh","stable","loop1",4,75,"four",70,90,0
"354",22,"1","easy","stable","loop5",1,1,"four",0,95,1
"354",22,"1","easy","stable","loop5",1,2,"two",0,35,1
"354",22,"1","easy","stable","loop5",1,3,"four",0,92,0
"354",22,"1","easy","stable","loop5",1,4,"four",1,90,0
"354",22,"1","easy","stable","loop5",1,5,"four",2,90,1
"354",22,"1","easy","stable","loop5",1,6,"one",0,15,1
"354",22,"1","easy","stable","loop5",1,7,"three",0,63,1
"354",22,"1","easy","stable","loop5",1,8,"two",0,35,0
"354",22,"1","easy","stable","loop5",1,9,"two",1,33,0
"354",22,"1","easy","stable","loop5",1,10,"two",2,37,1
"354",22,"1","easy","stable","loop5",1,11,"one",0,13,0
"354",22,"1","easy","stable","loop5",1,12,"one",1,15,1
"354",22,"1","easy","stable","loop5",1,13,"four",0,85,0
"354",22,"1","easy","stable","loop5",1,14,"four",1,84,0
"354",22,"1","easy","stable","loop5",1,15,"four",2,80,0
"354",22,"1","easy","stable","loop5",1,16,"four",3,75,0
"354",22,"1","easy","stable","loop5",1,17,"four",4,74,0
"354",22,"1","easy","stable","loop5",1,18,"four",5,77,0
"354",22,"1","easy","stable","loop5",1,19,"four",6,82,0
"354",22,"1","easy","stable","loop5",1,20,"four",7,87,1
"354",22,"1","easy","stable","loop5",1,21,"three",0,70,1
"354",22,"1","easy","stable","loop5",1,22,"four",0,90,0
"354",22,"1","easy","stable","loop5",1,23,"four",1,90,0
"354",22,"1","easy","stable","loop5",1,24,"four",2,89,0
"354",22,"1","easy","stable","loop5",1,25,"four",3,84,0
"354",22,"1","easy","stable","loop5",1,26,"four",4,90,0
"354",22,"1","easy","stable","loop5",1,27,"four",5,93,0
"354",22,"1","easy","stable","loop5",1,28,"four",6,97,0
"354",22,"1","easy","stable","loop5",1,29,"four",7,91,0
"354",22,"1","easy","stable","loop5",1,30,"four",8,85,0
"354",22,"1","easy","stable","loop5",1,31,"four",9,80,0
"354",22,"1","easy","stable","loop5",1,32,"four",10,82,0
"354",22,"1","easy","stable","loop5",1,33,"four",11,84,0
"354",22,"1","easy","stable","loop5",1,34,"four",12,88,0
"354",22,"1","easy","stable","loop5",1,35,"four",13,89,1
"354",22,"1","easy","stable","loop5",1,36,"three",0,69,1
"354",22,"1","easy","stable","loop5",1,37,"one",0,17,1
"354",22,"1","easy","stable","loop5",1,38,"two",0,31,0
"354",22,"1","easy","stable","loop5",1,39,"two",1,28,1
"354",22,"1","easy","stable","loop5",1,40,"four",0,99,0
"354",22,"1","easy","stable","loop5",1,41,"four",1,97,0
"354",22,"1","easy","stable","loop5",1,42,"four",2,96,0
"354",22,"1","easy","stable","loop5",1,43,"four",3,93,0
"354",22,"1","easy","stable","loop5",1,44,"four",4,93,0
